[2025-04-24 22:16:33,051] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143504.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,052] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143729.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,054] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143810.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,055] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143920.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,058] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_8.jpg HTTP/1.1" 200 10923
[2025-04-24 22:16:33,062] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144023.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,063] INFO | Fin de requête: {"status_code": 200, "duration": "0.0090 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143810.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,064] INFO | Fin de requête: {"status_code": 200, "duration": "0.0120 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143729.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,064] INFO | Fin de requête: {"status_code": 200, "duration": "0.0130 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143504.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,065] INFO | Fin de requête: {"status_code": 200, "duration": "0.0100 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143920.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,077] INFO | Fin de requête: {"status_code": 200, "duration": "0.0150 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144023.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,085] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_143729.png HTTP/1.1" 200 75931
[2025-04-24 22:16:33,086] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_143323.png HTTP/1.1" 200 137036
[2025-04-24 22:16:33,090] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_143504.png HTTP/1.1" 200 113435
[2025-04-24 22:16:33,091] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_143810.png HTTP/1.1" 200 134371
[2025-04-24 22:16:33,093] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_143920.png HTTP/1.1" 200 154854
[2025-04-24 22:16:33,094] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_144023.png HTTP/1.1" 200 157117
[2025-04-24 22:16:33,123] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144147.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,126] INFO | Fin de requête: {"status_code": 200, "duration": "0.0030 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144147.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,132] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144245.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,133] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144415.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,134] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145034.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,137] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144415.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,137] INFO | Fin de requête: {"status_code": 200, "duration": "0.0030 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145034.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,138] INFO | Fin de requête: {"status_code": 200, "duration": "0.0060 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_144245.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,141] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145140.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,143] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145649.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,145] INFO | Fin de requête: {"status_code": 200, "duration": "0.0020 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145649.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,150] INFO | Fin de requête: {"status_code": 200, "duration": "0.0090 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145140.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,152] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_144147.png HTTP/1.1" 200 220478
[2025-04-24 22:16:33,159] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_144415.png HTTP/1.1" 200 186330
[2025-04-24 22:16:33,160] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_145034.png HTTP/1.1" 200 158470
[2025-04-24 22:16:33,162] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_145649.png HTTP/1.1" 200 162913
[2025-04-24 22:16:33,163] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_145140.png HTTP/1.1" 200 164670
[2025-04-24 22:16:33,164] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_144245.png HTTP/1.1" 200 196872
[2025-04-24 22:16:33,167] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145811.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,171] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_145811.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,184] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150740.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,185] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150838.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,187] INFO | Fin de requête: {"status_code": 200, "duration": "0.0030 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150740.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,188] INFO | Fin de requête: {"status_code": 200, "duration": "0.0030 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150838.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,188] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150938.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,190] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_145811.png HTTP/1.1" 200 191300
[2025-04-24 22:16:33,191] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_151206.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,193] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152248.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,195] INFO | Fin de requête: {"status_code": 200, "duration": "0.0070 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_150938.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,197] INFO | Fin de requête: {"status_code": 200, "duration": "0.0060 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_151206.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,199] INFO | Fin de requête: {"status_code": 200, "duration": "0.0060 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152248.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,202] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152248_rc8FNj8.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,205] INFO | Fin de requête: {"status_code": 200, "duration": "0.0030 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152248_rc8FNj8.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,209] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_150740.png HTTP/1.1" 200 149692
[2025-04-24 22:16:33,210] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_150838.png HTTP/1.1" 200 158918
[2025-04-24 22:16:33,215] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_152248_rc8FNj8.png HTTP/1.1" 200 230063
[2025-04-24 22:16:33,217] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_151206.png HTTP/1.1" 200 267247
[2025-04-24 22:16:33,218] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_150938.png HTTP/1.1" 200 286034
[2025-04-24 22:16:33,220] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_152248.png HTTP/1.1" 200 230063
[2025-04-24 22:16:33,227] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152402.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,230] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153036.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,231] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152402.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,232] INFO | Fin de requête: {"status_code": 200, "duration": "0.0020 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153036.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,238] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_153036.png HTTP/1.1" 200 264567
[2025-04-24 22:16:33,242] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153224.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,243] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153334.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,244] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153439.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,246] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153635.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,249] INFO | Fin de requête: {"status_code": 200, "duration": "0.0060 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153224.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,249] INFO | Fin de requête: {"status_code": 200, "duration": "0.0050 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153439.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,250] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153635.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,251] INFO | Fin de requête: {"status_code": 200, "duration": "0.0080 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_153334.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,253] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_154237.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,254] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_152402.png HTTP/1.1" 200 257777
